"Year,Age,ID_sex,ID_np,M_come,M_out"
"2015,7,1,0,144,153"
"2015,6,1,0,182,240"
"2015,5,1,0,157,202"
"2015,4,1,0,158,172"
"2015,3,1,0,195,218"
"2015,2,1,0,197,235"
"2015,1,1,0,190,187"
"2015,0,1,0,104,137"
"2015,99,1,1,0,0"
"2015,98,1,1,0,0"
"2015,97,1,1,0,0"
"2015,96,1,1,0,0"
"2015,100,1,1,0,0"
"2015,95,1,1,0,0"
"2015,94,1,1,1,0"
"2015,93,1,1,0,0"
"2015,92,1,1,0,1"
"2015,91,1,1,2,2"
"2015,90,1,1,2,1"
"2015,89,1,1,1,1"
"2015,88,1,1,3,2"
"2015,87,1,1,1,1"
"2015,86,1,1,5,4"
"2015,85,1,1,2,2"
"2015,84,1,1,7,5"
"2015,83,1,1,12,7"
"2015,82,1,1,6,8"
"2015,81,1,1,6,7"
"2015,80,1,1,8,8"
"2015,79,1,1,14,15"
"2015,78,1,1,12,8"
"2015,77,1,1,7,6"
"2015,76,1,1,18,22"
"2015,75,1,1,19,23"
"2015,74,1,1,23,23"
"2015,73,1,1,17,17"
"2015,72,1,1,10,13"
"2015,71,1,1,3,4"
"2015,70,1,1,13,13"
"2015,69,1,1,16,24"
"2015,68,1,1,22,37"
"2015,67,1,1,29,34"
"2015,66,1,1,26,46"
"2015,65,1,1,35,53"
"2015,64,1,1,33,68"
"2015,63,1,1,46,67"
"2015,62,1,1,41,52"
"2015,61,1,1,33,66"
"2015,60,1,1,49,86"
"2015,59,1,1,57,68"
"2015,58,1,1,40,81"
"2015,57,1,1,47,86"
"2015,56,1,1,64,75"
"2015,55,1,1,70,104"
"2015,54,1,1,56,85"
"2015,53,1,1,57,87"
"2015,52,1,1,64,71"
"2015,51,1,1,62,103"
"2015,50,1,1,51,82"
"2015,49,1,1,71,108"
"2015,48,1,1,70,98"
"2015,47,1,1,80,95"
"2015,46,1,1,79,116"
"2015,45,1,1,86,119"
"2015,44,1,1,88,111"
"2015,43,1,1,92,118"
"2015,42,1,1,103,121"
"2015,41,1,1,114,128"
"2015,40,1,1,118,159"
"2015,39,1,1,132,157"
"2015,38,1,1,162,154"
"2015,37,1,1,149,160"
"2015,36,1,1,153,189"
"2015,35,1,1,180,201"
"2015,34,1,1,169,195"
"2015,33,1,1,207,231"
"2015,32,1,1,241,261"
"2015,31,1,1,236,267"
"2015,30,1,1,266,284"
"2015,29,1,1,317,323"
"2015,28,1,1,279,298"
"2015,27,1,1,300,317"
"2015,26,1,1,293,294"
"2015,25,1,1,260,297"
"2015,24,1,1,234,285"
"2015,23,1,1,262,291"
"2015,22,1,1,266,328"
"2015,21,1,1,351,381"
"2015,20,1,1,358,443"
"2015,19,1,1,456,735"
"2015,18,1,1,542,765"
"2015,17,1,1,330,215"
"2015,16,1,1,419,136"
"2015,15,1,1,144,70"
"2015,14,1,1,65,67"
"2015,13,1,1,58,57"
"2015,12,1,1,73,79"
"2015,11,1,1,68,96"
"2015,10,1,1,89,100"
"2015,9,1,1,90,93"
"2015,8,1,1,80,103"
"2015,7,1,1,144,147"
"2015,6,1,1,194,136"
"2015,5,1,1,147,127"
"2015,4,1,1,146,146"
"2015,3,1,1,164,167"
"2015,2,1,1,196,180"
"2015,1,1,1,134,138"
"2015,0,1,1,123,85"
"2016,0,1,1,116,106"
"2016,1,1,1,158,147"
"2016,2,1,1,193,144"
"2016,3,1,1,157,174"
"2016,4,1,1,150,148"
"2016,5,1,1,155,148"
"2016,6,1,1,248,172"
"2016,7,1,1,156,167"
"2016,8,1,1,88,106"
"2016,9,1,1,90,89"
"2016,10,1,1,74,84"
"2016,11,1,1,88,92"
"2016,12,1,1,68,82"
"2016,13,1,1,89,83"
"2016,14,1,1,58,65"
"2016,15,1,1,166,76"
"2016,16,1,1,474,135"
"2016,17,1,1,388,236"
"2016,18,1,1,614,766"
"2016,19,1,1,453,657"
"2016,20,1,1,388,433"
"2016,21,1,1,378,302"
"2016,22,1,1,321,278"
"2016,23,1,1,223,250"
"2016,24,1,1,237,234"
"2016,25,1,1,267,257"
"2016,26,1,1,275,244"
"2016,27,1,1,282,254"
"2016,28,1,1,309,344"
"2016,29,1,1,288,307"
"2016,30,1,1,305,291"
"2016,31,1,1,266,263"
"2016,32,1,1,231,263"
"2016,33,1,1,223,263"
"2016,34,1,1,187,214"
"2016,35,1,1,172,221"
"2016,36,1,1,154,171"
"2016,37,1,1,161,155"
"2016,38,1,1,129,190"
"2016,39,1,1,146,172"
"2016,40,1,1,112,164"
"2016,41,1,1,95,121"
"2016,42,1,1,102,117"
"2016,43,1,1,88,106"
"2016,44,1,1,104,136"
"2016,45,1,1,82,119"
"2016,46,1,1,80,85"
"2016,47,1,1,65,83"
"2016,48,1,1,70,93"
"2016,49,1,1,71,87"
"2016,50,1,1,72,90"
"2016,51,1,1,49,100"
"2016,52,1,1,68,79"
"2016,53,1,1,58,91"
"2016,54,1,1,69,86"
"2016,55,1,1,63,101"
"2016,56,1,1,46,90"
"2016,57,1,1,74,103"
"2016,58,1,1,49,78"
"2016,59,1,1,54,68"
"2016,60,1,1,56,79"
"2016,61,1,1,53,67"
"2016,62,1,1,47,63"
"2016,63,1,1,46,68"
"2016,64,1,1,36,54"
"2016,65,1,1,58,57"
"2016,66,1,1,51,40"
"2016,67,1,1,32,45"
"2016,68,1,1,25,24"
"2016,69,1,1,22,38"
"2016,70,1,1,20,20"
"2016,71,1,1,12,18"
