"Year,Age,ID_sex,ID_np,Population"
"1990,11,0,0,4030"
"1990,12,0,0,4078"
"1990,13,0,0,4261"
"1990,14,0,0,3877"
"1990,15,0,0,3840"
"1990,16,0,0,2915"
"1990,17,0,0,2267"
"1990,18,0,0,1713"
"1990,19,0,0,1899"
"1990,20,0,0,2110"
"1990,21,0,0,2415"
"1990,22,0,0,2761"
"1990,23,0,0,3010"
"1990,24,0,0,3177"
"1990,25,0,0,3446"
"1990,26,0,0,3743"
"1990,27,0,0,3953"
"1990,28,0,0,4059"
"1990,29,0,0,4392"
"1990,30,0,0,4255"
"1990,31,0,0,4110"
"1990,32,0,0,3906"
"1990,33,0,0,3618"
"1990,34,0,0,3633"
"1990,35,0,0,3592"
"1990,36,0,0,3002"
"1990,37,0,0,3065"
"1990,38,0,0,2809"
"1990,39,0,0,2776"
"1990,40,0,0,2633"
"1990,41,0,0,1930"
"1990,42,0,0,2049"
"1990,43,0,0,1671"
"1990,44,0,0,994"
"1990,45,0,0,767"
"1990,46,0,0,736"
"1990,47,0,0,1373"
"1990,48,0,0,2273"
"1990,49,0,0,2619"
"1990,50,0,0,3391"
"1990,51,0,0,3036"
"1990,52,0,0,2922"
"1990,53,0,0,3184"
"1990,54,0,0,2893"
"1990,55,0,0,3205"
"1990,56,0,0,3203"
"1990,57,0,0,3909"
"1990,58,0,0,4070"
"1990,59,0,0,4099"
"1990,60,0,0,3909"
"1990,61,0,0,3842"
"1990,62,0,0,3665"
"1990,63,0,0,3555"
"1990,64,0,0,3156"
"1990,65,0,0,3060"
"1990,66,0,0,2514"
"1990,67,0,0,2034"
"1990,68,0,0,1870"
"1990,69,0,0,1583"
"1990,70,0,0,2143"
"1990,71,0,0,1850"
"1990,72,0,0,1447"
"1990,73,0,0,1442"
"1990,74,0,0,1715"
"1990,75,0,0,1941"
"1990,76,0,0,1689"
"1990,77,0,0,1872"
"1990,78,0,0,1711"
"1990,79,0,0,1452"
"1990,80,0,0,1308"
"1990,81,0,0,1175"
"1990,82,0,0,1076"
"1990,83,0,0,931"
"1990,84,0,0,626"
"1990,85,0,0,534"
"1990,86,0,0,528"
"1990,87,0,0,391"
"1990,88,0,0,275"
"1990,89,0,0,196"
"1990,90,0,0,109"
"1990,91,0,0,87"
"1990,92,0,0,56"
"1990,93,0,0,43"
"1990,100,0,0,0"
"1990,94,0,0,36"
"1990,95,0,0,22"
"1990,96,0,0,18"
"1990,97,0,0,21"
"1990,98,0,0,5"
"1990,99,0,0,29"
"1991,99,0,0,4"
"1991,98,0,0,18"
"1991,97,0,0,11"
"1991,96,0,0,12"
"1991,95,0,0,22"
"1991,94,0,0,33"
"1991,100,0,0,24"
"1991,93,0,0,34"
"1991,92,0,0,59"
"1991,91,0,0,89"
"1991,90,0,0,139"
"1991,89,0,0,221"
"1991,88,0,0,317"
"1991,87,0,0,449"
"1991,86,0,0,457"
"1991,85,0,0,543"
"1991,84,0,0,787"
"1991,83,0,0,949"
"1991,82,0,0,1062"
