"Year,Age,ID_sex,ID_np,Birth"
"1994,15,1,1,12"
"1994,16,1,1,54"
"1994,17,1,1,152"
"1994,18,1,1,341"
"1994,19,1,1,496"
"1994,20,1,1,543"
"1994,21,1,1,550"
"1994,22,1,1,490"
"1994,23,1,1,410"
"1994,24,1,1,378"
"1994,25,1,1,311"
"1994,26,1,1,266"
"1994,27,1,1,258"
"1994,28,1,1,252"
"1994,29,1,1,201"
"1994,30,1,1,196"
"1994,31,1,1,168"
"1994,32,1,1,138"
"1994,33,1,1,124"
"1994,34,1,1,103"
"1994,35,1,1,89"
"1994,36,1,1,63"
"1994,37,1,1,48"
"1994,38,1,1,26"
"1994,39,1,1,22"
"1994,40,1,1,20"
"1994,41,1,1,15"
"1994,42,1,1,5"
"1994,43,1,1,4"
"1994,44,1,1,4"
"1994,45,1,1,0"
"1994,46,1,1,0"
"1994,47,1,1,0"
"1994,48,1,1,0"
"1994,49,1,1,0"
"1994,15,1,0,6"
"1994,16,1,0,28"
"1994,17,1,0,80"
"1994,18,1,0,179"
"1994,19,1,0,260"
"1994,20,1,0,285"
"1994,21,1,0,289"
"1994,22,1,0,257"
"1994,23,1,0,215"
"1994,24,1,0,198"
"1994,25,1,0,163"
"1994,26,1,0,140"
"1994,27,1,0,135"
"1994,28,1,0,132"
"1994,29,1,0,105"
"1994,30,1,0,102"
"1994,31,1,0,88"
"1994,32,1,0,72"
"1994,33,1,0,65"
"1994,34,1,0,54"
"1994,35,1,0,46"
"1994,36,1,0,33"
"1994,37,1,0,25"
"1994,38,1,0,13"
"1994,39,1,0,11"
"1994,40,1,0,10"
"1994,41,1,0,8"
"1994,42,1,0,2"
"1994,43,1,0,2"
"1994,44,1,0,2"
"1994,45,1,0,0"
"1994,46,1,0,0"
"1994,47,1,0,0"
"1994,48,1,0,0"
"1994,49,1,0,0"
"1994,15,0,1,11"
"1994,16,0,1,49"
"1994,17,0,1,138"
"1994,18,0,1,310"
"1994,19,0,1,451"
"1994,20,0,1,493"
"1994,21,0,1,500"
"1994,22,0,1,446"
"1994,23,0,1,373"
"1994,24,0,1,343"
"1994,25,0,1,282"
"1994,26,0,1,242"
"1994,27,0,1,235"
"1994,28,0,1,229"
"1994,29,0,1,183"
"1994,30,0,1,178"
"1994,31,0,1,153"
"1994,32,0,1,125"
"1994,33,0,1,113"
"1994,34,0,1,93"
"1994,35,0,1,80"
"1994,36,0,1,58"
"1994,37,0,1,44"
"1994,38,0,1,23"
"1994,39,0,1,20"
"1994,40,0,1,18"
"1994,41,0,1,14"
"1994,42,0,1,4"
"1994,43,0,1,4"
"1994,44,0,1,4"
"1994,45,0,1,0"
"1994,46,0,1,0"
"1994,47,0,1,0"
"1994,48,0,1,0"
"1994,49,0,1,0"
"1994,15,0,0,6"
"1994,16,0,0,27"
"1994,17,0,0,75"
"1994,18,0,0,169"
"1994,19,0,0,246"
"1994,20,0,0,269"
"1994,21,0,0,273"
"1994,22,0,0,243"
"1994,23,0,0,203"
"1994,24,0,0,187"
"1994,25,0,0,154"
"1994,26,0,0,132"
"1994,27,0,0,128"
"1994,28,0,0,125"
"1994,29,0,0,100"
"1994,30,0,0,97"
"1994,31,0,0,83"
"1994,32,0,0,68"
"1994,33,0,0,62"
"1994,34,0,0,51"
"1994,35,0,0,44"
"1994,36,0,0,31"
"1994,37,0,0,24"
"1994,38,0,0,13"
"1994,39,0,0,11"
"1994,40,0,0,10"
"1994,41,0,0,7"
"1994,42,0,0,2"
"1994,43,0,0,2"
"1994,44,0,0,2"
"1994,45,0,0,0"
"1994,46,0,0,0"
"1994,47,0,0,0"
"1994,48,0,0,0"
"1994,49,0,0,0"
"1995,49,0,0,0"
"1995,48,0,0,0"
"1995,47,0,0,0"
"1995,46,0,0,0"
"1995,45,0,0,0"
"1995,44,0,0,1"
"1995,43,0,0,1"
"1995,42,0,0,3"
"1995,41,0,0,7"
"1995,40,0,0,9"
"1995,39,0,0,10"
"1995,38,0,0,15"
"1995,37,0,0,22"
"1995,36,0,0,29"
"1995,35,0,0,42"
"1995,34,0,0,46"
"1995,33,0,0,56"
"1995,32,0,0,62"
"1995,31,0,0,75"
"1995,30,0,0,85"
"1995,29,0,0,86"
"1995,28,0,0,104"
"1995,27,0,0,103"
"1995,26,0,0,125"
"1995,25,0,0,143"
"1995,24,0,0,163"
"1995,23,0,0,199"
"1995,22,0,0,214"
"1995,21,0,0,254"
"1995,20,0,0,256"
"1995,19,0,0,221"
"1995,18,0,0,141"
"1995,17,0,0,65"
"1995,16,0,0,25"
