"Year,Age,ID_sex,ID_np,Died"
"1991,24,0,0,3"
"1991,23,0,0,4"
"1991,22,0,0,4"
"1991,21,0,0,2"
"1991,20,0,0,3"
"1991,19,0,0,3"
"1991,18,0,0,3"
"1991,17,0,0,1"
"1991,16,0,0,2"
"1991,15,0,0,1"
"1991,14,0,0,0"
"1991,13,0,0,1"
"1991,12,0,0,2"
"1991,11,0,0,1"
"1991,10,0,0,1"
"1991,9,0,0,1"
"1991,8,0,0,2"
"1991,7,0,0,5"
"1991,6,0,0,1"
"1991,5,0,0,3"
"1991,4,0,0,2"
"1991,3,0,0,4"
"1991,2,0,0,5"
"1991,1,0,0,8"
"1991,0,0,0,58"
"1991,100,0,1,10"
"1991,99,0,1,7"
"1991,98,0,1,7"
"1991,97,0,1,8"
"1991,96,0,1,10"
"1991,95,0,1,14"
"1991,94,0,1,21"
"1991,93,0,1,38"
"1991,92,0,1,42"
"1991,91,0,1,64"
"1991,90,0,1,85"
"1991,89,0,1,86"
"1991,88,0,1,126"
"1991,87,0,1,152"
"1991,86,0,1,147"
"1991,85,0,1,188"
"1991,84,0,1,189"
"1991,83,0,1,211"
"1991,82,0,1,201"
"1991,81,0,1,207"
"1991,80,0,1,236"
"1991,79,0,1,205"
"1991,78,0,1,209"
"1991,77,0,1,187"
"1991,76,0,1,186"
"1991,75,0,1,136"
"1991,74,0,1,128"
"1991,73,0,1,136"
"1991,72,0,1,135"
"1991,71,0,1,89"
"1991,70,0,1,90"
"1991,69,0,1,94"
"1991,68,0,1,74"
"1991,67,0,1,121"
"1991,66,0,1,119"
"1991,65,0,1,106"
"1991,64,0,1,102"
"1991,63,0,1,129"
"1991,62,0,1,67"
"1991,61,0,1,83"
"1991,60,0,1,66"
"1991,59,0,1,61"
"1991,58,0,1,60"
"1991,57,0,1,44"
"1991,56,0,1,45"
"1991,55,0,1,45"
"1991,54,0,1,57"
"1991,53,0,1,44"
"1991,52,0,1,55"
"1991,51,0,1,43"
"1991,50,0,1,30"
"1991,49,0,1,22"
"1991,48,0,1,9"
"1991,47,0,1,11"
"1991,46,0,1,8"
"1991,45,0,1,15"
"1991,44,0,1,14"
"1991,43,0,1,19"
